NAVCOID	CAMPAIGN	LOCATION	BYEAR	EYEAR	TARGET	SUCCESS	LIMITED	FAILURE	ONGOING	NONVIOL	VIOL	REGCHANGE	FSELFDET	SECESSION	OTHER	DURATION	PARTICIPATION	PERCENTAGEPOPULARPARTICIPATION	REGVIOL	DEFECT	VIOLENTFLANK	VIOLSIM	REGAID	STATESUP
4.0	"Afghans"	"Afghanistan"	1978.0	1979.0	"Afghan government"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	613.0	10000.0	6.41025641025641E-4	1.0	1.0		1.0	1.0	1.0
3.0	"Afghan resistance"	"Afghanistan"	1980.0	1989.0	"Soviet occupation"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3281.0	10000.0	6.849315068493151E-4	1.0	0.0		1.0	0.0	1.0
218.0	"Taliban/anti-government forces"	"Afghanistan"	1992.0	1996.0	"Afghan regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1370.0	20000.0	8.928571428571428E-4	1.0	0.0		1.0	0.0	0.0
217.0	"Taliban"	"Afghanistan"	2001.0	2014.0	"Afghan government"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	4391.0	60000.0	0.001625087494033559	1.0	1.0		1.0	1.0	0.0
5.0	"Albanian anti-communist"	"Albania"	1990.0	1991.0	"Communist regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	442.0	300000.0	0.09106840542561274	1.0	0.0	0.0	1.0	1.0	0.0
6.0	"Algerian Revolt/National Liberation Front"	"Algeria"	1954.0	1962.0	"French occupation"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2695.0	39000.0	0.0035454545454545456	1.0	0.0		1.0	0.0	1.0
82.0	"former rebel leaders"	"Algeria"	1962.0	1963.0	"Ben Bella regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	171.0	40000.0	0.0035398230088495575	1.0	1.0		1.0	0.0	0.0
106.0	"Islamic Salvation Front"	"Algeria"	1992.0	2002.0	"Algerian government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3616.0	12500.0	3.906854829963364E-4	1.0	0.0		1.0	0.0	0.0
317.0	"Anti-Abdelaziz Bouteflika Campaign"	"Algeria"	2010.0	2012.0	"Abdelaziz Bouteflika's Government"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	378.0	150000.0	0.003992988631402348	1.0	0.0	1.0	0.0	0.0	0.0
176.0	"Popular Movement for the Liberation of Angola"	"Angola"	1961.0	1974.0	"Portuguese occupation"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5001.0	11400.0	0.0019068803420876426	1.0	0.0		1.0	0.0	1.0
237.0	"UNITA"	"Angola"	1975.0	2002.0	"Angolan government"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	9760.0	50000.0	0.0019923374700900336	1.0	0.0		1.0	1.0	1.0
390.0	"Cabinda Conflict"	"Angola"	1991.0	2014.0	"Govt of Angola"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	8263.0	1100.0	3.8786749078400394E-5	1.0	0.0			0.0	1.0
362.0	"Revolucion Libertadora"	"Argentina"	1955.0	1955.0	"Argentina"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	4000.0	2.113120630132572E-4	1.0	1.0		0.0	0.0	0.0
72.0	"ERP/Monteneros"	"Argentina"	1973.0	1977.0	"Argentina regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1766.0	3000.0	1.1111111111111112E-4	1.0	0.0		1.0	0.0	0.0
33.0	"pro-democracy movement"	"Argentina"	1977.0	1983.0	"military junta"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2415.0	9000000.0	0.30201342281879195	1.0	0.0	1.0	0.0	1.0	0.0
32.0	"Argentina anti-coup"	"Argentina"	1987.0	1987.0	"attempted coup"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	400000.0	0.012658227848101266	0.0	1.0	0.0	0.0	0.0	0.0
318.0	"Armenian Opposition Protest / March 1st Movement"	"Armenia"	2007.0	2009.0	"Government / President"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	740.0	25000.0	0.008654759563855509	1.0	0.0	0.0	1.0	0.0	0.0
254.0	"Pro-Independence Campaign"	"Aruba"	1977.0	1977.0	"Government of the Netherlands and the Netherlands Antilles Council"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	13.0		0.0	1.0	0.0	0.0	0.0	0.0	0.0
35.0	"Armenians in Nagorno-Karabakh"	"Azerbaijan"	1991.0	1994.0	"Azeri occupation"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	944.0	10000.0	0.001316309069369488	1.0	0.0		0.0	1.0	1.0
255.0	"Anti-King Hamad Campaign"	"Bahrain"	2011.0	2014.0	"Monarchy of King Hamad"	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1050.0	100000.0	0.06381649439404005	1.0	0.0	1.0	0.0	0.0	0.0
198.0	"Shanti Bahini"	"Bangladesh"	1976.0	1997.0	"Autonomy from Bangladesh regime"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	8006.0	2000.0	1.6147961836552915E-5	1.0	0.0		1.0	0.0	0.0
37.0	"anti-Ershad campaign"	"Bangladesh"	1987.0	1990.0	"Military rule"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1262.0	1000.0	9.417203018755998E-6	0.0	0.0	0.0	1.0	0.0	0.0
288.0	"Awami League Protests"	"Bangladesh"	2004.0	2007.0	"BNP-led government"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1064.0	100000.0	6.796285837945106E-4	1.0	0.0	1.0	0.0	0.0	0.0
38.0	"Belarus anti-communist"	"Belarus"	1988.0	1991.0	"Communist regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1134.0	100000.0	0.009809691975671964	1.0	0.0	0.0	0.0	1.0	0.0
39.0	"Denim revolution"	"Belarus"	2006.0	2006.0	"Belarus government"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0	40000.0	0.0041645306095082065	0.0	0.0	0.0	0.0	0.0	0.0
41.0	"Benin anti-communist"	"Benin"	1989.0	1990.0	"Communist regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	466.0	40000.0	0.008034555014205092	1.0	1.0	0.0	0.0	1.0	0.0
432.0	"Popular Revolutionary Movement (Bolivia)"	"Bolivia"	1946.0	1946.0	"Villarroel Regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	12.0		0.0	1.0	1.0	1.0	0.0	0.0	0.0
44.0	"leftists"	"Bolivia"	1952.0	1952.0	"military junta"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	23000.0	0.007976929333076685	1.0	1.0		0.0	0.0	0.0
43.0	"Bolivian anti-juntas"	"Bolivia"	1977.0	1982.0	"Mil juntas"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1724.0	100000.0	0.017723507609765227	1.0	1.0	0.0	0.0	0.0	0.0
289.0	"Anti-Siles Zuazo"	"Bolivia"	1985.0	1985.0	"President Hernan Silez-Zuazo"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	16.0	60000.0	0.010109630518278633	0.0	0.0	0.0	0.0	0.0	0.0
257.0	"Anti-Sanchez de Lozada Campaign"	"Bolivia"	2003.0	2003.0	"President Sanchez de Lozada"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	19.0	1000.0	1.1350196698908792E-4	1.0	0.0	0.0	0.0	0.0	0.0
196.0	"Serb militias"	"Bosnia-Herzegovina"	1992.0	1995.0	"Bosnian government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1286.0	70000.0	0.01821156215658197	1.0	0.0		1.0	1.0	0.0
369.0	"Republic of Western Bosnia (secession)"	"Bosnia-Herzegovina"	1993.0	1995.0	"Bosnian government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	678.0	3000.0	7.733397812685763E-4	1.0	0.0		1.0	1.0	1.0
68.0	"diretas ja"	"Brazil"	1984.0	1985.0	"Military rule"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	356.0	1500000.0	0.010948905109489052	1.0	1.0	0.0	0.0	0.0	0.0
383.0	"Brunei Revolt"	"Brunei"	1962.0	1962.0	"Brunei government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	9.0	4000.0	0.044641362454382105	1.0	0.0		0.0	1.0	1.0
47.0	"Bulgarian anti-communist"	"Bulgaria"	1989.0	1990.0	"Communist regime"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	91.0	100000.0	0.011470140528720715	1.0	0.0	0.0	0.0	1.0	0.0
290.0	"Dance with me Campaign"	"Bulgaria"	2013.0	2014.0	"Gov't of PM Oresharski"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	405.0	15000.0	0.0020764297810972354	1.0	0.0	1.0	0.0	0.0	0.0
405.0	"Myanmar Regime Change Campaign"	"Burma/Myanmar"	1948.0	1962.0	"Burmese government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	5475.0	25000.0	0.0011	1.0	0.0		1.0	1.0	0.0
408.0	"Karens"	"Burma/Myanmar"	1948.0	2013.0	"Burmese government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	16852.0	10000.0	2.3412501849880303E-4	1.0	0.0		0.0	1.0	0.0
406.0	"Myanmar Regime Change Campaign"	"Burma/Myanmar"	1962.0	1988.0	"Burmese government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	9855.0	50000.0	0.0013	1.0	0.0		1.0	1.0	0.0
349.0	"Naga Insurgency"	"Burma/Myanmar"	1988.0	2014.0	"Burmese and Indian rule"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	9848.0	2000.0	3.710771073366879E-5	1.0	0.0		1.0	0.0	0.0
407.0	"Myanmar Regime Change Campaign"	"Burma/Myanmar"	1988.0	2014.0	"Burmese government"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	9490.0	36000.0	7.0E-4	1.0	0.0		1.0	1.0	0.0
273.0	"Saffron Revolution"	"Burma/Myanmar"	2007.0	2007.0	"Government"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	41.0	130000.0	0.002627337339928462	1.0	0.0	0.0	1.0	0.0	0.0
81.0	"Hutu rebellion"	"Burundi"	1972.0	1973.0	"Tutsi hegemony in government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	11484.0	2500.0	3.595511823265349E-4	1.0	0.0		0.0	0.0	0.0
192.0	"Second Hutu Rebellion"	"Burundi"	1988.0	1988.0	"Tutsi influence in government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	8.0	2001.0	3.896028037383178E-4	1.0	0.0		0.0	1.0	0.0
236.0	"Tutsi supremacists"	"Burundi"	1991.0	1992.0	"Buyoya regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	402.0		0.0	1.0	1.0		0.0	0.0	1.0
225.0	"Third Hutu Rebellion"	"Burundi"	1991.0	2008.0	"power-sharing/Tutsi-dominated government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	6219.0	3000.0	5.299286945612888E-4	1.0	0.0		0.0	0.0	1.0
371.0	"Cambodian Independence Movement"	"Cambodia"	1946.0	1954.0	"French rule"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3122.0	34000.0	0.006918378999382637	1.0	0.0		0.0	1.0	1.0
117.0	"Khmer Rouge"	"Cambodia"	1970.0	1975.0	"Cambodian government"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1932.0	60000.0	0.002586206896551724	1.0	1.0		1.0	1.0	1.0
22.0	"Anti-Khmer Rouge"	"Cambodia"	1978.0	1979.0	"Khmer Rouge regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	69.0	150000.0	0.006172839506172839	1.0	1.0		0.0	1.0	1.0
193.0	"Second Khmer Rouge"	"Cambodia"	1979.0	1997.0	"Cambodian government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	6748.0	30000.0	0.0026558355789898618	1.0	0.0		1.0	1.0	1.0
51.0	"anti-colonialist movement"	"Cameroon"	1955.0	1960.0	"French occupation"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1826.0	7000.0	0.0012480476968171218	1.0	0.0		0.0	0.0	0.0
413.0	"Cameroon anti-Ahidjo government movement"	"Cameroon"	1960.0	1964.0	"Franco-Cameroonian administration"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1467.0	3000.0	5.127807175306395E-4	1.0	0.0		0.0	1.0	1.0
259.0	"NCCOP pro-democracy movement"	"Cameroon"	1991.0	1991.0	"Biya Regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	134.0	20000.0	0.0066424218269981235	1.0	0.0	1.0	0.0	1.0	0.0
404.0	"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad (Boko Haram Affliliate)"	"Cameroon"	2013.0	2014.0	"Gov't of Cameroon"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	17.0	2001.0	7.780478976550896E-5	1.0	0.0		1.0	1.0	0.0
325.0	"CCCN and Union pro-democracy movement"	"Central African Republic"	1990.0	1993.0	"Kolingba Presidency"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1292.0	20000.0	0.0066424218269981235	1.0	0.0	1.0	0.0	1.0	0.0
49.0	"multiple factions"	"Central African Republic"	1994.0	1997.0	"CAR regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1460.0	1000.0	2.843082595245399E-4	1.0	0.0		1.0	0.0	1.0
360.0	"Seleka rebellion"	"Central African Republic"	2003.0	2013.0	"President Francois Bozize"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3662.0	20000.0	0.004444787186923081	1.0	1.0	0.0	0.0	1.0	0.0
361.0	"anti-Balaka"	"Central African Republic"	2013.0	2014.0	"Central African Republic govt"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	292.0	50000.0	0.010407308761538583	1.0	0.0		0.0	0.0	0.0
85.0	"Frolinat"	"Chad"	1966.0	1990.0	"Chadian government"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	8799.0	5000.0	8.393685329802166E-4	1.0	0.0		1.0	1.0	1.0
54.0	"Chad rebels"	"Chad"	1994.0	1998.0	"Chadian regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1562.0	1000.0	1.2887830253872212E-4	1.0	0.0		1.0	0.0	1.0
363.0	"MDJT"	"Chad"	1998.0	2003.0	"Govt of Chad"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	5541.0	1500.0	1.6036750244506986E-4	1.0	1.0		1.0	0.0	1.0
170.0	"Pinochet-led rebels"	"Chile"	1973.0	1973.0	"Allende regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	60000.0	0.00606266675491215	0.0	1.0		0.0	0.0	1.0
26.0	"anti-Pinochet campaign"	"Chile"	1983.0	1989.0	"Augusto Pinochet"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2409.0	700000.0	0.05426356589147287	1.0	1.0	1.0	0.0	1.0	0.0
425.0	"Chinese communist movement"	"China"	1946.0	1949.0	"Kuomintang regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	8250.0	1000000.0	0.0018461424852770137	1.0	1.0		0.0	0.0	1.0
216.0	"Taiwanese Revolt"	"China"	1947.0	1947.0	"Chinese occupation"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	21.0	30000.0	5.511068982050448E-5	1.0	0.0		0.0	0.0	0.0
92.0	"Hundred Flowers Movement"	"China"	1956.0	1957.0	"Communist regime"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	455.0	550000.0	8.688783570300158E-4	1.0	0.0	0.0	0.0	0.0	0.0
228.0	"Tibetan resistance"	"China"	1956.0	1959.0	"Chinese occupation"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1139.0	22500.0	3.4403669724770645E-5	1.0	0.0		0.0	0.0	0.0
63.0	"Cultural Revolution Red Guards"	"China"	1967.0	1968.0	"anti-Maoists"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	601.0	1000000.0	0.001288659793814433	0.0	0.0		1.0	0.0	0.0
66.0	"Democracy Movement"	"China"	1976.0	1979.0	"Communist regime"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1365.0	100000.0	1.0288065843621399E-4	1.0	0.0	0.0	0.0	0.0	0.0
226.0	"Tiananmen Square"	"China"	1989.0	1989.0	"Communist regime"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	49.0	1000000.0	8.928571428571428E-4	1.0	0.0	0.0	0.0	0.0	0.0
129.0	"La Violencia/Liberals of 1949"	"Colombia"	1948.0	1958.0	"Conservative govt"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3868.0	100000.0	0.006666666666666667	1.0	0.0		1.0	0.0	0.0
182.0	"Revolutionary Armed Forces of Colombia, National Liberation Army, M-19"	"Colombia"	1964.0	2014.0	"Colombia govt and US influence"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	19046.0	12500.0	2.569192516562916E-4	1.0	1.0		1.0	0.0	0.0
367.0	"Anjouan Separatist Movement"	"Comoros"	1997.0	2000.0	"Comoros govt"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1267.0		0.0	1.0	1.0	1.0	0.0	1.0	0.0
397.0	"Anti-Sassou-Nguessou Campaign (Cocoyes, Ninjas, Ntsiloulous)"	"Congo-Brazzaville (ROC)"	1997.0	2003.0	"Sassou-Nguessou Regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1961.0	3000.0	9.004779737084444E-4	1.0	1.0		0.0	1.0	0.0
146.0	"National Union Party"	"Costa Rica"	1948.0	1948.0	"Calderon regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	36.0	700.0	9.383378016085791E-4	1.0	1.0		0.0	0.0	0.0
391.0	"Serbian Republic of Krajina (secession campaign)"	"Croatia"	1991.0	1995.0	"Gov't of Croatia"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1589.0	40000.0	0.008664081016088765	1.0	0.0		0.0	0.0	1.0
62.0	"Cuban Revolution"	"Cuba"	1958.0	1959.0	"Batista regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	223.0	50000.0	0.007245446454266887	1.0	1.0		0.0	1.0	1.0
77.0	"Ethniki Organosis Kyprios Agoniston"	"Cyprus"	1954.0	1959.0	"British occupation"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1976.0	1000.0	0.001763668430335097	0.0	0.0		0.0	0.0	0.0
64.0	"Czech uprising"	"Czechoslovakia"	1968.0	1968.0	"Soviet occupation"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	228.0		0.0	1.0	0.0	0.0	0.0	0.0	0.0
240.0	"Velvet Revolution"	"Czechoslovakia"	1989.0	1989.0	"Communist regime"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	24.0	500000.0	0.04854368932038835	1.0	0.0	0.0	0.0	1.0	0.0
409.0	"CNL"	"Democratic Republic of Congo"	1964.0	1965.0	"Mobutu regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	631.0		0.0	1.0	0.0		0.0	1.0	1.0
112.0	"Kabila-ADFL"	"Democratic Republic of Congo"	1996.0	1997.0	"Mobutu regime"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	221.0	20000.0	4.56306944539952E-4	1.0	0.0		0.0	0.0	1.0
410.0	"Second Congo War"	"Democratic Republic of Congo"	1998.0	2002.0	"Kabila Regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1480.0	85000.0	0.0017054574638844303	1.0	1.0		0.0	1.0	1.0
326.0	"CNDP"	"Democratic Republic of Congo"	2006.0	2008.0	"Congo government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	704.0	8000.0	1.325082310800441E-4	1.0	0.0	0.0	0.0	0.0	1.0
294.0	"M23"	"Democratic Republic of Congo"	2012.0	2013.0	"Congo government"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	554.0	5500.0	7.71215078662606E-5	1.0	1.0		1.0	1.0	1.0
2.0	"Afar insurgency"	"Djibouti"	1991.0	1994.0	"Djibouti regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1168.0	4500.0	0.0072304721016250885	1.0	0.0		0.0	0.0	1.0
260.0	"Djibouti Arab Spring"	"Djibouti"	2011.0	2011.0	"Gov't of Djibouti (President Guelleh)"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	35.0	30000.0	0.034644552663761916	1.0	0.0	0.0	0.0	0.0	0.0
70.0	"leftists"	"Dominican Republic"	1965.0	1965.0	"Loyalist regime"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	134.0	5000.0	0.0013137562630045447	1.0	1.0		1.0	1.0	0.0
74.0	"East German uprising"	"East Germany"	1953.0	1953.0	"Communist regime"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	17.0	400000.0	0.022004620970403784	1.0	0.0	0.0	0.0	1.0	0.0
75.0	"pro-dem movement"	"East Germany"	1989.0	1989.0	"Communist regime"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	64.0	70000.0	0.004213314072469002	0.0	1.0	0.0	0.0	1.0	0.0
230.0	"Freitilin"	"East Timor"	1975.0	1979.0	"Indonesian occupation"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1414.0	30000.0	2.0818875780707842E-4	1.0	0.0		1.0	0.0	0.0
